,Clean_tweet,label
10428,was a fighting &amp; in with her her her &amp; ha|,1
2799,only a person would tweet me. calling me names for telling the truth.,1
10318,you might be a libtard if...,1
2044,"seriously lede. come on, you can do better.",1
6043,if you truly stand for equality then none of these can be acceptable. a|,1
19492,you might be a libtard if...,1
31718,white girl has sex with black guy girls nackt video free online,1
12830,in my previous job every person's response to was doing the &amp; that's including &amp; mgta|,1
30641,people around the world are afraid. the world is primed to react. a|,1
4230,thank you mr. president obama. the light that revealed darkness in we the people of the usa. we are stronger.,1
2926,d own team up with &amp; show what &amp; combat,1
5903,sea shepherd suppoers are racist!,1
6323,wahhhh!!!!! white ppl arent allowed to do this!!! ddd. fuck you rich. we don't care d,1
24928,", ""forever pure - and in on a|",1
210,take out the america... - i voted against - i voted against - i voted against - i vota|,1
30080,: pupil suing school district after alleged classroom incident,1
4186,excellent idea! dig deep &amp; hang 'em high! a|,1
19033,"if you are a non-racist white, other minority don't serve in military while in power",1
3633,your comments are reflections of total ignorance and absolute,1
23459,is just as as her husband.,1
7167,"this! deaths blamed on victims' ""culture"" by council what about paying maybe?",1
22954,most victims in islamic extremist attacks continue to be muslim.,1
23322,"last retro for you this year, and whilst i do love a good bit of i do not wanta|",1
31947,you don't have the balls to hashtag me as a but you say i am to weasel away.. lumpy tony.. dipshit.,1
17453,msg of for a business to end .,1
13102,"i'm guessing a shiless man doesn't objectify himself by being shiless, but a shiless woman is?",1
2850,"disgusting racist thugs, look forward to him going back to jail",1
24185,"these kind of people need to be erased of eah''s surface -_- ,",1
22363,"racial discrimination interacts with genetics, impacts health among african americans",1
7785,live! swiftly sharpens the fang tale of a|,1
28345,must be heabreaking for within to find they're helpless againsta|,1
30916,the alt-right movement is like: mustfall,1
5047,her not working with trump should be a good thing,1
12205,you're such a hatred person a &amp; is who you are!,1
6169,a look at the repug gop pay at,1
12189,"not surprised how ""news"" outlets call opposition to race-mix ad . they hate racism, though. i embraca|",1
3141,"dealing with relatives reminding you that ""the clock"" is ticking? this might help.",1
6402,atk porn pics representations of women in men's alcohol ads,1
18747,not to sound but has her looks to fall back on unlike good luck 2 both,1
2475,"if you are a non-racist white, other minority don't serve in military while in power",1
20912,17 crazy things women couldn't do in 1960,1
151,yes it's when you call a gorilla because racists have long thought of black people as no beta|,1
25022,"no, you're just supposed to be quiet and look pretty.",1
18416,not all westerners are islamophobes. a|,1
23081,tremendous oppounity to move our country back 75 years into ove and tax breaks for corps.,1
26602,"have you joined the pizza pay? we're talking , the and .",1
10693,thought factory: left-right polarisation! &gt;15,1
4099,multiple types of racism in america,1
27045,fights against in various municipalities such as in naboomspruit area,1
13440,why did the resolve that is a form of,1
7156,"tonight in proudly presented by goverment, police + media! it's a big staging going on there!",1
20214,new law makes it acceptable to clip racist cab drivers round the ear:,1
16244,if you are pa of the 64.2 mil who rejected his business. &amp; must be stoppea|,1
19589,this is the type of trash trump and paladino attract.,1
26450,enlightenment is wasted on the wilfully blind. a|,1
1717,you might be a libtard if...,1
24608,"i gotta hand it to you, keeping it pretty darn cool in the face of such blatant .a|",1
29423,"pre-crime in germany of all places, did they make them wear badges ?",1
25046,tell that jeffery beauregard to quit foolin' around and come pick up his hood &amp; sheets for saturdaa|,1
29398,yeah man fuck feminism,1
8552,campaign co-chair unleashes on the in 2017 wish list | mic,1
8994,1.48 projection s,1
23963,if you are pa of the 64.2 mil who rejected his business. &amp; must be stoppea|,1
26618,obama/jarretts who agenda was to destroy everything good about this country and inflict even bit of hate,1
6634,1.48 projection s,1
5582,"i despise . in that hatred of racism, it causes me, and many other black people ina|",1
1392,buffalo school districts boots trump ally over racist comments. :,1
25431,"louisville, kentucky woman goes on rant at",1
9221,expes explain the best way to deal with friends &amp; family.,1
19431,should be fired if she thinks choking a child and the wrongful arrest of the parent is acceptable.a|,1
4877,"if you are one of the 64.2 mil who rejected , &amp; fly your flag half mast on jan.a|",1
29885,you might be a libtard if...,1
56,lets fight against,1
15518,seems its escaped your attention that bashing whites isn't winning you any elections - over 1200 dem seats lost 08-a|,1
9673,would you want your child to attend this school? i wouldn't.,1
18206,rise up today is out! stories of police brutality from,1
30496,"judge lets wlk aftr the of a special needs blk teen. ddnt wnt tht on his record, would nevr work n reverse",1
13538,black girl porn teen virgin sex pictures,1
30350,woman in cou on racism charge,1
7172,more evil jew why is it jew controlled media has never and never will cite any non white groua|,1
29911,stop trying to find where it isn't even happening!,1
27666,"haha wow. is a for using the n-word &amp; the equivalent of it in arabic ""abd"" which means slave:",1
28434,omits decades of records for his ag confirmation hearing a| no surprise from this,1
8115,are you &amp; feel like the are a|on you? listen,1
8795,"turns into a raging sexist, and genocide-defender.",1
24347,"in bluntly tweet, announces racial profiling at main station. wow!",1
13989,sex videos fucking cross,1
26100,are we entering a new age of ? a repoer reflects on the hate crime beat,1
2644,donkey proud of murdering real palestinian semitic children - thats what i call,1
23394,: i can't wait nothing good of a (racist) and ( misogynist) than see to the women like animals.,1
22178,"lesson from history, choose carefully; main l. king / malcolm x :: reconciliation / vengeance",1
24277,this is a special kind of stupid. have no basis in reality or in history. must be a,1
25006,"to all of those, who answer replies to my youtube comments...you do not, i repeat you do not know me when i'm angry",1
9324,this who tweeted this sewage below doesn't understand why he and,1
7663,"stuakenyon81 swiftly sharpens the fang , &amp; eevalancaster",1
11363,dull british .,1
17844,neoliberalism prioritized money and oil over pretty much everything else. a| a|a|,1
19819,lolol not a leb either! ddddddddddd,1
11422,im so with and their &amp;,1
1541,not all muslims hate america.,1
31742,you might be a libtard if...,1
8466,"i noticed too. definitions of , and are trying to be changed so people don't hv to. htta|",1
8183,why is ignored,1
26208,"prostitutes, a brief history of the behaving badly'",1
10229,more evidence of the impoance of in the vote,1
9500,welcome 2017 touches new heights!,1
20887,vandalised in in condemns act,1
9344,go fuck yourself richie. we like it and it's not going anywhere! d$?,1
12315,oh just fuuuuuuuuuuuuck right off,1
29599,a campaign co-chair answers a few questions...,1
22761,for perspective only: a refresher on and,1
7441,just asking....oh and of course black people can be racist. that belief in itself is superior and by definition is .,1
2157,"harbaugh had no time for stupid questions about bikinis. thank you, no time 4 . via",1
23364,#NAME?,1
30860,"is trafficking in ? &amp; his ""for profit"" use of the word nigger to sell music",1
30537,he may be correct. i just can't pay attention to a .,1
4211,again looks like a damned fool! for 50 years the usa has openly opposed settlement buliding by,1
30066,a|you &amp; feel like the are stomping on you? listen,1
24532,sea shepherd suppoers are racist!,1
25077,"what a world. if a man took a dive like that, people would say it was fixed. but b/c is a woman this is expected.",1
21792,".@user just delete your account, shallow , and go away.",1
23722,has yet to honestly expose the deep rooted hatred towards was based on &amp; so...,1
16257,fuck donald trump! he will never be my president!,1
9416,"a!i, acharles paladino's racist comments spark calls for resignationa",1
14836,don't forget the women who are misogynists!,1
30731,"thereas no such thing as an average christian, or muslim, or jew. a| a|",1
16178,when you don't want to read dd 1/2,1
3134,you might be a libtard if...,1
29198,are you &amp; feel like the are stomping a| you? listen,1
24123,your comments are reflections of ignorance and . =,1
16189,joe biden: 'i want to thank' trump for unmasking america's,1
15305,did keep and from being words not to use in .,1
18838,there is only one requirement for the job of the us president: being male,1
10037,girls in the world nude yong girl,1
10785,plz sign,1
16058,"hey carl paladino, looks like ""you're fired!""",1
10306,add to your list karma sa|,1
11432,apologists be like ... doubletree by hilton londona|,1
22474,racial profiling by in cologne. such disgusting...,1
24602,michelle obama aape in heelsa case is just the beginning,1
15523,a white-skinned woman's unfair experience of in india! via,1
8438,".@user just delete your account, shallow , and go away.",1
10255,so this girl walks into and refuses to let me serve her because i'm a white guy? whoa hey there and,1
7283,"more propaganda from - this time videos on ""how to properly stab a jew""",1
5567,only is u in your hole=,1
24455,how do you sleep at night? you are a terrible person! you sir represent everything wrong with our country. gfy,1
8241,uk 2016: where it fell to pop star to do the job of the,1
16559,you might be a libtard if...,1
5439,.@user tragic 4 white americans that prompts so many 2 vote 4 candidates who will slash their owa|,1
22811,"josephjett ""fatherhood: nor shall you engage in aberrant social behavior, then call that resultant disdain that is merely commona|",1
20136,so i guess that white women aren't to blame? how does that work again??,1
22826,"we were? maybe you are-but don't you dare demonize innocent infants born with white skin,",1
4177,vandalised in in condemns act,1
22511,hmmm...sounds familiar. hasn't held a news coa|,1
131,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
27003,a genealogy of,1
15183,no such thing as the community. the most &amp; i've experienced has been from white gay men.,1
10852,not all muslims hate america. a| _OSSUO!U O1Ua|,1
10021,oops! i did it again! melted another fragile snowflake! heed,1
4612,"""your people"" would have all died of scurvy their first winter if the first nations hadn't shown them a cute.a|",1
20982,woman gets shagged by black man adult riders,1
12979,stop calling ! i've met him. bbc is more than he. he's got big work ahead.,1
5510,trump campaign official wants michelle obama to be alet loosea to live with african apes,1
21368,the latest the seattle daily! thanks to,1
9875,pt 2 .that's your bitch ass,1
20064,the immature is just trying to make a fool of,1
24178,sea shepherd suppoers are racist!,1
23375,are you &amp; feel like the are stomping on you? listen,1
10568,techjunkiejh:'alt-right' site plans a 'fake black person' twitter campaign a|,1
26697,nothing humorous about your jibes u trump official paladino under fire over crude obama remarks -,1
771,great aicle. right on the money!,1
13368,the latest the blicqeraC/ daily! thanks to,1
19836,"u lose ur right 2 call others ""racist"" after a tweet like this. what a hypocrite.",1
29887,michelle obama is on the crack pipe,1
28924,ambassador says is form of,1
28210,book - in a global age ht,1
16551,"8 presidents, same policy on israeli settlements but only obama is slammed as a treacherous anti-semite. a|",1
22347,is this what your university stands for?,1
17587,great speech war veteran,1
5941,this woman needs to be arrested and prosecuted for encouraging rape of another race,1
24315,"- i bet if the hc was white, he would have been fired years ago!",1
27298,are a| &amp; feel like the are stomping on you? listen,1
27140,approx. 63 million voted for the but over 74 million voted against him. he has no mandate &amp; cona|,1
23677,by the time you get to saying you've already missed the point.,1
6574,d own team up with &amp; show what &amp; combat,1
29065,why is ignored,1
7813,"come in, =fraud &amp; documented lost base after calling them he's pivoa|",1
18188,is defunding aboion and sending you to the,1
26012,my latest post: the masses a some kinda monster:,1
28286,sea shepherd suppoers are racist!,1
8401,next attack wont be in japan. guaranteed.,1
12056,10 hours of walking in as a woman,1
12148,alt-right and euro-conservatism,1
1479,smh i cant take these one sided standards,1
3602,women nude anal anal t girls,1
6672,i've had 9.5 years of mostly &amp; even '#drs'... just leave me to die!,1
13739,islamophobia only serves to empower the extremists.,1
21363,boob camron diaz naked pics,1
15005,"if you get us into a war, you better send your boys uday &amp; qusay first! you're an idiot and a fool! sad!",1
11611,trump ally wishes mad cow disease death for obama,1
3059,"beware the ""snowball effect"" blackman! pa 2",1
21255,"jews, christians and muslims all believe that good will prevail. cnn a|",1
14323,"your comment = a! 5,- donation for a$? sucks",1
263,"this man ran for governor of ny, the state with the biggest african-american population",1
20813,"a tale of , &amp; for",1
23770,you might be a libtard if...,1
10443,the latest the equality echo! thanks to,1
2635,is the dictionary word for anti-black,1
17490,"this video was censored by youtube for ""hate speech"" d enjoy!",1
12254,"everything wrong with is embodied by : , and a hostility to",1
24566,"in the when you &amp; all those rags that only spread propaganda, fear, hatred,a|",1
28475,sea shepherd suppoers are racist!,1
16191,congressman hangs this picture nationas capitol. he should volunteer to be hua|,1
31536,the fuck done with and other bullshit.,1
1760,this our b 2 end problems like &amp; by turning 2 god of,1
6826,your comments are reflections of ignorance and c@user,1
10491,its about time calls an gets results,1
9602,dear would you please ask these shameless givea|,1
6713,"book?? wtf, that's reich?",1
18936,is whiter than kevin federline,1
28796,finally!!! action!!!,1
16656,"it's time to end now. ""days of our lives (live)"" shyan selah",1
860,black professor makes assumptions about an entire race whilst speaking for entire race. next week the jews!a|,1
2567,chick gets fucked videos of big asses havin sex,1
4632,how was first officially codified in 15th-century,1
25620,now comes with a as four groups are given,1
13473,jeff sessions omits decades of records for his ag confirmation hearing you can't hide,1
21658,save the date! 1-4-2017 sourcenation! live wed 8,1
19949,a reson why so many muslims might be,1
16522,why are white people when the rest of us are,1
15362,in injustice and inflame protests over ash: tya|,1
28605,true progress,1
18918,reject news,1
19638,"review by shows church's response to , politics &amp; mercy.a|",1
23773,the left stops being so,1
13022,lame duck and lame dick,1
19651,oh my god triggered,1
20675,f*** this d|do government that deliberately toures we just had a coronial inquest into death &amp; busia|,1
9079,this is really telling.,1
31531,"thanks to racists + fascist it's now 280,- + sucks! a$?d",1
27986,why is ignored,1
31772,"destroyed many lives,but mad &amp; bad policies have destroyed more.",1
23783,word factory: race denial prevents healing! &gt;2,1
27111,this definitive history of racist ideas should be required reading,1
916,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
7631,critics threaten boycotts of simon &amp; schuster over milo yiannopoulos book deal | the huffington post,1
25019,michelle obama aape in heelsa case is just the beginning::,1
18190,"now you wanna mock my country b/c you have no pt.d are the most s of all,b/c ""it's not ifa|",1
1393,"dear wont buy more, if there s in yur retail sign, pissedoffitalian",1
5342,ally made remarks towards obamas - dec 24 9:52 am et,1
19161,why would i take down my avitar?? why are you projecting n ??,1
6537,"i know gb &amp; who's less racist than i'm a wog or should i say ""nut""",1
14817,is still rooted in our society's attitude towards black women's hair. read more from candide uyanze:a|,1
14444,research: and played greatest role in by,1
21241,"new black panthers recently in chant ""free us or die cracker"" &amp; ""f*ck the pigs""a|",1
15884,i know who my real niggers are. all fake niggers &amp; uppity niggers get deleted. life's too sho for bs a|,1
1244,what america owes now,1
21388,will the alt-right promote a new kind of genetics? mt,1
21283,this guy is a lunatic. an angry....ignorant....and vicious man!,1
26333,you might be a libtard if...,1
25086,maybe he heard the (since 1996) &amp; decided he did not want to go to are not,1
14715,why does the government allow behaviour?,1
16818,"if you're gonna steal my shit, at least have the common couesy to steal it right.",1
21670,why does this get so low key of a play when trump's foolish request to change judges got wall to wall coverage?,1
933,is not an racism is people based on race to justify or open against them.,1
14272,.@user you are a disgusting wohless pig of a human being...assuming you are human. go play in traffic.,1
24918,sea shepherd suppoers are racist!,1
28897,let's do this!,1
10149,sea shepherd suppoers are racist!,1
2126,"show me your tits, idiot!",1
26212,,1
18746,i almost always trust brazilians,1
7511,"fuck off, we're full.",1
27387,fine ill boycott it!,1
2391,stocking sex sites chick gets fucked,1
4262,says should with a -,1
8105,"hello there sweetie! d i will be glad to see you here i,d",1
13990,why is ignored,1
18549,"arc 5 week on &amp; mon 6:30 pm, $70 sliding scale.",1
30488,trump ny co-chair makes racist remarks about michelle obama,1
6102,will the alt-right promote a new kind of genetics? mt,1
15469,the revolution occurredajust not how marx expected it to. a|,1
28186,only a like could merge images like this without understanding the racist impact of the effect.,1
19590,keep these conversations going at school and home. we need to create the space and time and commit to help them.a|,1
14893,"""vandals turned a jewish family's menorah into a swastika""",1
31318,perfect timing for this tweet!,1
21622,free girls pic galery girls fucked,1
28111,this simplistic worldview exists today in the 10 second soundbite. . a|,1
28833,.@user unbelievable aicle! tip: it's never ok to tell someone they cannot procreate! m or f!,1
12230,what2inlieuof stop w/#hate. look inside you are,1
29102,a against | by villy wang |,1
16933,you might be a libtard if...,1
7592,twitter is full of vile but man does it give me the juice to,1
9753,police kill a substantially larger number of whites every year than they do blacks.,1
18034,"shocker. funded causes no matter how r ok, but criticism of policies, is not ok.a|",1
28449,mark levin reveals amissing historya of the pay that... via,1
21527,"a!i, a#charlespaladino's comments spark calls for",1
7177,"like all religions, islam is a strong unifying force. a| a|",1
28801,i live in nyc and don't see a lot of ove racism. i was disappointed to see how much there is on twitter. must never be tolerated!,1
22195,are you &amp; a| like the are stomping on you? listen,1
31946,omfg i'm offended! i'm a mailbox and i'm proud!,1
25496,racist troll ale in the great state of kentucky! listen to last thurs crabs,1
13185,how can sainsburys have no red stripe?? ddd,1
20553,opinion: is rife in the community. people can't demand equality while discriminating themselves,1
17763,along with make me go through hell d!da|,1
17051,you might be a libtard if...,1
9813,and in a not so stunning response plan to nominate member to lead their pay.,1
1997,riyadh is renowned for some of the deadliest traffic in the world. a|,1
16387,put on your big girl panties pandy asses,1
22236,"relied on protection to keep his ego up as a . used ,",1
8070,"anyone who thinks asian fetishes are ""harmless"" needs to read this.",1
4831,great aicle of truth about needs. comments back up why it's needed. - via,1
17762,as if reel are letting girls in first and there's a massive queue for guys,1
25763,the legacy of a crony. vote passes calling for to resign or get the boot!,1
3257,"sad that there is so much hatred towards jews in eu &amp; xians in me. remember xians of kenya, nigeriaa|",1
23725,hey you own . nobody comes close,1
10745,why is ignored,1
692,"carolyn cooper | ugly, poor, ignorant and black!",1
13899,you might be a libtard if...,1
15854,are you &amp; feel a| the are stomping on you? listen,1
15745,millennials shocked by quotes think theyre from,1
20121,comments about the obamas make him a late contender for the most loathsome character of 2016,1
15157,when you can't stop,1
16712,the 4th remake of hi-5 doesn't have the token asian chick.,1
27638,i will not buy or dl a book in after their deal with,1
29950,anti racist white murdered by blacks in south africa,1
26606,she didn't get far,1
27710,is has nothing to do with period.,1
16741,"this nonsensical, hate-filled word-salad w/b funny if it weren't so sad....",1
31562,"not every ushers in lies, hate, , or the incineration of",1
11193,someone should feed you grenades you stupid fuck shit,1
1463,tyler perry claims areverse racisma by critics of his tlc series,1
9020,you might be a libtard if...,1
22279,bjork wrote a powerful essay about and we're applauding,1
28352,"verified: shocking video of police touring civilians was shot at on nov 5, 2016.a|",1
3474,sea shepherd suppoers are racist!,1
26077,has complained that the pap is to white according to their lawa|,1
167,"you point one finger millions are pointed right back at you,",1
23878,innocent but . i'd love a gollybar said every irish kid ever.,1
269,how many#pols passed by how many times and said nothing?,1
25074,"'an unappetizing scam' :-) | women, we need to throw off the shackles of | |a|",1
1571,"get over it, the world keeps spinning .",1
10319,scary that it's not that long ago!,1
22272,you're running out of bitches to you d(c)d(c)d(c) d(c)d(c)d(c),1
13703,"it's no surprise that chosen is a mere basket of racists. though, is a buta|",1
15790,share 6 steps you can take to stop a racist attack or intervene with a berating bully via,1
22408,"what do u expect,#trump's father was a .that's why he won't denounce the kkk or racism.#facinghisa|",1
18544,this is our time to against evil men such at and his and,1
14264,= the raison d'etre of the adl has always been to incite as a means to usher in,1
1411,shot inside a pussy office woman,1
16001,vandalised in in condemns act,1
111,i'm not interested in a that doesn't address &amp; . racism is about bringsa|,1
9654,read and understand how berniebros chose sanders over hillary,1
21485,so proud to have a mayor like who isnt afraid to speak the truth..and yes he is completely righta|,1
28727,is guilty of treason ! we must naked raygun treason,1
5079,these white boys (yea calling you boy like you did/do us) like etc annoy me!,1
31719,are you &amp; feel like the are stomping on you? a|,1
19280,dear please define and what do you and or intend to do to adda|,1
12676,"no, jissus man, why do pple wait for the festive period to upset others. rightfully, we all should be outrage whenea|",1
15742,over-excited man is attacked by cat while opening present that cat repping trump yo!,1
10498,worst customer service in the united states! already repoed 2 the better business bureau!,1
22937,"universityofwisconsinmadison offering course. if they're gonna be blatantly , why not? orgasmic.",1
28316,because many of us find obama's policies repugnant does not make us you're liberal racecard has exhausted,1
14667,"""forever loyal to the city of buffalo"" you have a real class act there",1
31899,the end of,1
